"School name","Cases from school-based transmission"
"GRANT ELEMENTARY",0
"GRAPE STREET ELEMENTARY",0
"GRATTS EARLY EDUCATION CENTER",0
"GRATTS LA FOR YS DL ONE-WAY IM SPANISH",0
"GRIDLEY STREET ELEMENTARY",0
"GRIFFIN AVENUE ELEMENTARY",0
"GRIFFITH MIDDLE SCHOOL STEAM MAGNET",0
"GROVER CLEVELAND CHARTER HIGH SCHOOL",0
"GULF AVENUE ELEMENTARY",0
"HADDON AVENUE EARLY EDUCATION CENTER",0
"HADDON AVENUE ELEMENTARY",0
"HALLDALE ELEMENTARY",0
"HAMLIN CHARTER ACADEMY",0
"HANCOCK PARK ELEMENTARY",0
"HARBOR CITY ELEMENTARY",0
"HARBOR OCCUPATIONAL CENTER",0
"HARDING STREET ELEMENTARY",0
"HARMONY ELEMENTARY SCHOOL",0
"HAROLD MCALISTER HIGH SCHOOL CYESIS",0
"HARRIS NEWMARK CONTINUATION HIGH",0
"HARRISON STREET ELEMENTARY",0
"HARRY BRIDGES SPAN SCHOOL",0
"HART STREET ELEMENTARY",0
"HARVARD ELEMENTARY",0
"HASKELL ELEMENTARY STEAM MAGNET",0
"HAWAIIAN AVENUE EARLY EDUCATION CENTER",0
"HAWAIIAN AVENUE ELEMENTARY",0
"HAYNES CHARTER FOR ENRICHED STUDIES",0
"HAZELTINE AVENUE ELEMENTARY",0
"HELEN BERNSTEIN SENIOR HIGH",0
"HELEN BERNSTEIN SENIOR HIGH SCIENCE TECH ENGINEERING MATH",0
"HELIOTROPE AVENUE ELEMENTARY",0
"HENRY DAVID THOREAU CONTINUATION HIGH",0
"HENRY T GAGE MIDDLE SCHOOL",0
"HERRICK AVENUE ELEMENTARY",0
"HESBY OAKS LEADERSHIP CHARTER",0
"HIGHLAND PARK CONTINUATION HIGH",0
"HILDA L SOLIS LEARNING ACADEMY",0
"HILLCREST DRIVE ELEMENTARY",0
"HILLERY T BROADOUS EARLY EDUCATION CENTER",0
"HILLERY T BROADOUS ELEMENTARY",0
