date,location,region,population,cases,casechange,caserate,deaths,deathrate
2022-04-29,Unincorporated - Altadena,SGV,43620,8469,8469,19415,99,227
2022-04-29,Unincorporated - Anaverde,AV,1508,325,325,21552,1,66
2022-04-29,Unincorporated - Angeles National Forest,AV,1245,74,74,5944,1,80
2022-04-29,Unincorporated - Arcadia,SGV,7981,1466,1466,18369,19,238
2022-04-29,Unincorporated - Athens Village,S,4897,2286,2286,46682,36,735
2022-04-29,Unincorporated - Athens-Westmont,S,42442,14308,14308,33712,154,363
2022-04-29,Unincorporated - Avocado Heights,SGV,6775,2219,2219,32753,21,310
2022-04-29,Unincorporated - Azusa,SGV,15923,4973,4973,31232,52,327
2022-04-29,Unincorporated - Bassett,SGV,14817,4810,4810,32463,55,371
2022-04-29,Unincorporated - Bouquet Canyon,SFV,1073,149,149,13886,2,186
2022-04-29,Unincorporated - Bradbury,SGV,108,72,72,66667,26,24074
2022-04-29,Unincorporated - Canyon Country,SFV,7728,2634,2634,34084,9,116
2022-04-29,Unincorporated - Castaic,SFV,27191,7575,7575,27858,30,110
2022-04-29,Unincorporated - Cerritos,E,587,136,136,23169,2,341
2022-04-29,Unincorporated - Charter Oak,SGV,20,2,2,10000,0,0
2022-04-29,Unincorporated - Claremont,SGV,702,100,100,14245,5,712
2022-04-29,Unincorporated - Covina (Charter Oak),SGV,13144,3612,3612,27480,26,198
2022-04-29,Unincorporated - Covina,SGV,16819,4818,4818,28646,57,339
2022-04-29,Unincorporated - Del Aire,SB,4393,899,899,20464,4,91
2022-04-29,Unincorporated - Del Rey,W,318,94,94,29560,1,314
2022-04-29,Unincorporated - Del Sur,AV,2415,542,542,22443,3,124
2022-04-29,Unincorporated - Desert View Highlands,AV,2493,753,753,30205,13,521
2022-04-29,Unincorporated - Duarte,SGV,4428,1528,1528,34508,14,316
2022-04-29,Unincorporated - East Covina,SGV,329,76,76,23100,1,304
2022-04-29,Unincorporated - East La Mirada,E,5292,1212,1212,22902,13,246
2022-04-29,Unincorporated - East Lancaster,AV,114,37,37,32456,0,0
2022-04-29,Unincorporated - East Los Angeles,E,125268,48151,48151,38438,535,427
2022-04-29,Unincorporated - East Pasadena,SGV,6403,327,327,5107,11,172
2022-04-29,Unincorporated - East Rancho Dominguez,S,15308,5107,5107,33362,63,412
2022-04-29,Unincorporated - East Whittier,E,5306,1077,1077,20298,10,188
2022-04-29,Unincorporated - El Camino Village,SB,8791,1883,1883,21420,16,182
2022-04-29,Unincorporated - El Monte,SGV,145,51,51,35172,0,0
2022-04-29,Unincorporated - Elizabeth Lake,AV,1661,208,208,12523,1,60
2022-04-29,Unincorporated - Florence-Firestone,S,64705,26389,26389,40784,259,400
2022-04-29,Unincorporated - Franklin Canyon,MLA,12,1,1,8333,0,0
2022-04-29,Unincorporated - Glendora,SGV,660,167,167,25303,3,455
2022-04-29,Unincorporated - Hacienda Heights,SGV,55925,11840,11840,21171,134,240
2022-04-29,Unincorporated - Harbor Gateway,S,1,4,4,400000,0,0
2022-04-29,Unincorporated - Hawthorne,SB,2514,607,607,24145,5,199
2022-04-29,Unincorporated - Hi Vista,AV,1098,133,133,12113,2,182
2022-04-29,Unincorporated - Kagel/Lopez Canyons,SFV,1412,536,536,37960,3,212
2022-04-29,Unincorporated - La Crescenta-Montrose,SFV,19802,2933,2933,14812,24,121
2022-04-29,Unincorporated - La Habra Heights,E,676,17,17,2515,1,148
2022-04-29,Unincorporated - La Rambla,SGV,2075,607,607,29253,25,1205
2022-04-29,Unincorporated - La Verne,SGV,2040,502,502,24608,2,98
2022-04-29,Unincorporated - Ladera Heights,W,7071,1287,1287,18201,18,255
2022-04-29,Unincorporated - Lake Hughes,AV,668,149,149,22305,1,150
2022-04-29,Unincorporated - Lake Los Angeles,AV,12994,3453,3453,26574,27,208
2022-04-29,Unincorporated - Lake Manor,SFV,1643,345,345,20998,2,122
2022-04-29,Unincorporated - Lakewood,E,114,1,1,877,0,0
2022-04-29,Unincorporated - Lennox,SB,22542,6433,6433,28538,67,297
2022-04-29,Unincorporated - Leona Valley,AV,1751,259,259,14792,5,286
2022-04-29,Unincorporated - Littlerock,AV,4021,1195,1195,29719,9,224
2022-04-29,Unincorporated - Littlerock/Juniper Hills,AV,1297,277,277,21357,4,308
2022-04-29,Unincorporated - Littlerock/Pearblossom,AV,3569,1042,1042,29196,14,392
2022-04-29,Unincorporated - Llano,AV,877,101,101,11517,2,228
2022-04-29,Unincorporated - Marina del Rey,W,9411,1706,1706,18128,4,43
2022-04-29,Unincorporated - Miracle Mile,MLA,0,0,0,0,0,0
2022-04-29,Unincorporated - Monrovia,SGV,3881,879,879,22649,4,103
2022-04-29,Unincorporated - Newhall,SFV,220,87,87,39545,1,455
2022-04-29,Unincorporated - North Lancaster,AV,1198,342,342,28548,4,334
2022-04-29,Unincorporated - North Whittier,W,8360,2404,2404,28756,33,395
2022-04-29,Unincorporated - Northeast San Gabriel,SGV,24036,4120,4120,17141,51,212
2022-04-29,Unincorporated - Padua Hills,SGV,215,26,26,12093,0,0
2022-04-29,Unincorporated - Palmdale,AV,842,216,216,25653,5,594
2022-04-29,Unincorporated - Palos Verdes Peninsula,SB,621,66,66,10628,0,0
2022-04-29,Unincorporated - Pearblossom/Llano,AV,1956,322,322,16462,3,153
2022-04-29,Unincorporated - Pellissier Village,SGV,619,297,297,47981,1,162
2022-04-29,Unincorporated - Placerita Canyon,SGV,460,15,15,3261,0,0
2022-04-29,Unincorporated - Pomona,SGV,1938,141,141,7276,3,155
2022-04-29,Unincorporated - Quartz Hill,AV,12906,3119,3119,24167,35,271
2022-04-29,Unincorporated - Rancho Dominguez,S,2661,936,936,35175,6,225
2022-04-29,Unincorporated - Roosevelt,S,931,217,217,23308,2,215
2022-04-29,Unincorporated - Rosewood,S,1286,394,394,30638,6,467
2022-04-29,Unincorporated - Rosewood/East Gardena,S,1193,414,414,34702,6,503
2022-04-29,Unincorporated - Rosewood/West Rancho Dominguez,S,3361,1078,1078,32074,18,536
2022-04-29,Unincorporated - Rowland Heights,SGV,51023,8848,8848,17342,106,208
2022-04-29,Unincorporated - San Clemente Island,SB,0,0,0,0,0,0
2022-04-29,Unincorporated - San Francisquito Canyon/Bouquet Canyon,SFV,858,34,34,3963,0,0
2022-04-29,Unincorporated - San Jose Hills,SGV,20221,6423,6423,31764,97,480
2022-04-29,Unincorporated - San Pasqual,SGV,2035,64,64,3145,1,49
2022-04-29,Unincorporated - Sand Canyon,AV,308,49,49,15909,0,0
2022-04-29,Unincorporated - Santa Catalina Island,SB,267,616,616,230712,5,1873
2022-04-29,Unincorporated - Santa Monica Mountains,W,18621,2857,2857,15343,19,102
2022-04-29,Unincorporated - Saugus,SFV,155,317,317,204516,1,645
2022-04-29,Unincorporated - Saugus/Canyon Country,SFV,356,90,90,25281,1,281
2022-04-29,Unincorporated - South Antelope Valley,AV,455,88,88,19341,1,220
2022-04-29,Unincorporated - South El Monte,SGV,1795,625,625,34819,6,334
2022-04-29,Unincorporated - South San Gabriel,SGV,8848,2041,2041,23067,56,633
2022-04-29,Unincorporated - South Whittier,SGV,59222,17283,17283,29183,189,319
2022-04-29,Unincorporated - Southeast Antelope Valley,AV,781,185,185,23688,1,128
2022-04-29,Unincorporated - Stevenson Ranch,SFV,20966,4114,4114,19622,15,72
