School name,Community,Community of Schools,Cases among students and staff
"42ND ST EL DWS","","",0
"49TH ST EL","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",3
"4TH ST EEC","East Los Angeles Community","East Los Angeles Community of Schools",0
"4TH ST EL","","",2
"4TH ST PC","","",0
"4TH ST PC DTS","","",0
"52ND ST EL","South Mid-City Community","South Mid-City Community of Schools",0
"54TH ST EL","LA Mid-City Community","LA Mid-City Community of Schools",0
"59TH ST EL","Baldwin Hills/Leimert Park Community","H.E.E.T. (C/D) Community of Schools",1
"61ST ST CSPP","South Mid-City Community","South Mid-City Community of Schools",0
"61ST ST EL","","",0
"61ST ST EL DTS","","",0
"66TH ST EEC","Florence-Firestone/Watts Community","Rivera Community of Schools",0
"66TH ST EL","","",0
"6TH AVE EL","LA Mid-City Community","LA Mid-City Community of Schools",3
"6TH AVE EL DTS","","",0
"74TH ST EL","Baldwin Hills/Leimert Park Community","H.E.E.T. (C/D) Community of Schools",2
"74TH ST EL GIFTED MG","","",0
"75TH ST EEC","South Los Angeles/Watts Community","Fremont Community of Schools",0
"75TH ST EL","","",5
"75TH ST EL DTS","","",1
"7TH ST EL AI MAG","San Pedro Community","San Pedro Community of Schools",0
"92ND ST EL","Watts/Green Meadows Community","Achievement Network Community of Schools",3
"93RD ST EL","South Los Angeles/Watts Community","Fremont Community of Schools",0
"93RD ST EL DTS","","",0
"93RD ST EL STEAM MAG","","",0
"95TH ST EEC","Westmont/West Athens Community","H.E.E.T. (W) Community of Schools",0
"95TH ST EL","","",1
"96TH ST EL","Watts/Green Meadows Community","Achievement Network Community of Schools",0
"96TH ST EL DTS","","",0
"97TH ST EEC","South Los Angeles/Watts Community","Fremont Community of Schools",0
"99TH ST CSPP","Gardena Community","Gardena Community of Schools",0
"99TH ST EL","","",4
"9TH ST EL","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",1
"ACAD ENRICH SCI MAG","Reseda Community","Reseda Community of Schools",0
"ADAMS MS","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",0
"ADAMS MS GIFTED MAG","","",0
"ADDAMS HS","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",1
"AGGELER HS","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",0
"ALBION ST EEC","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"ALBION ST EL","","",1
"ALDAMA EL","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",0
"ALDAMA EL DTS","","",0
"ALEXANDER SCS","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",0
"ALEXANDER SCS DTS","","",1
"ALEXANDRIA AV EL DTS","Downtown Community","Downtown Community of Schools",0
"ALEXANDRIA AVE EEC","","",0
"ALEXANDRIA AVE EL","","",3
"ALLESANDRO EL","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",2
"ALLESANDRO EL CL MAG","","",1
"ALLESANDRO SPS","","",0
"ALTA CAL GSTEAM MAG","North Hills/Panorama City Community","Monroe Community of Schools",0
"ALTA CALIFORNIA EL","","",0
"ALTA LOMA EL","LA Mid-City Community","LA Mid-City Community of Schools",0
"ALTA LOMA EL DTS","","",1
"AMANECER PC","East Los Angeles Community","East Los Angeles Community of Schools",0
"AMBLER AV GIFTED MAG","Carson Community","Carson Community of Schools",0
"AMBLER AVE EL","","",2
"AMBLER AVE EL DTS","","",0
"AMESTOY EL","Gardena Community","Gardena Community of Schools",2
"AMESTOY EL ML/MC MAG","","",0
"AMESTOY SPS","","",0
"ANATOLA AVE EL","Northridge/Reseda Community","Cleveland Community of Schools",2
"ANDASOL AVE EL","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",1
"ANDASOL AVE SPS","","",0
"ANGELES MESA EL","LA Mid-City Community","LA Mid-City Community of Schools",0
