date,region,caserate
2021-08-31,"Huntington Park/Vernon Community of Schools",25.896564110703633
2021-09-02,"Fremont Community of Schools",35.230885196473636
2021-09-02,"Achievement Network Community of Schools",31.310010854137094
2021-09-02,"MacArthur Park Community of Schools",19.27246446639364
2021-09-02,"Gardena Community of Schools",15.828371747573998
2021-09-02,"San Pedro Community of Schools",37.36543394397205
2021-09-02,"Boyle Heights Community of Schools",26.443725717540328
2021-09-02,"Jefferson/South Central (West) Community of Schools",26.468394330951178
2021-09-02,"Carson Community of Schools",31.438199377130676
2021-09-02,"Manual Arts/Vermont Square Community of Schools",19.6279918255187
2021-09-02,"LA Mid-City Community of Schools",19.845510334931152
2021-09-02,"Fairfax Community of Schools",15.343110304177161
2021-09-02,"H.E.E.T. (C/D) Community of Schools",30.644082906173391
